productgroep;eenheid;minimaal;maximaal;kosten;circulair;;;;;;;;
21 Buitenwanden;m2;7,37;24,13;223,07;128;;;;;;;;
22 Binnenwanden;m2;12,58;17,80;82,85;387;;;;;;;;
23 Vloeren;m2;14,95;28,15;271,83;88;;;;;;;;
24 Trappen en hellingen;stuks;0,05;0,10;5437,50;88;;;;;;;;
27 Daken;m2;3,91;13,51;1359,22;75;;;;;;;;
28 Hoofddraagconstructie;m2;4,51;13,11;158,24;538;;;;;;;;
31 Buitenkozijnen, -ramen, -deuren en -puien;stuks;1,52;1,86;2486,31;58;;;;;;;;
32 Binnenkozijnen en -deuren;stuks;0,56;2,56;830,05;50;;;;;;;;
33 Luiken en vensters;stuks;0,06;0,17;2195,00;25;;;;;;;;
34 Balustrades en leuningen;m1;1,67;2,64;290,39;;;;;;;;;
42 Binnenwandafwerkingen;m2;11,02;30,78;26,54;75;;;;;;;;
43 Vloerafwerkingen;m2;14,93;23,75;71,58;56;;;;;;;;
45 Plafonds;m2;12,59;19,24;107,67;50;;;;;;;;
48 Na-isolatie;;;;;75;;;;;;;;
52 Riolering en HWA;;;;4529,66;75;;;;;;;;
53 Warm- en koud water installaties;;;;80,30;25;;;;;;;;
56 Verwarming en koeling;;;;5802,38;15;;;;;;;;
57 Luchtbehandeling;;;;5919,05;15;;;;;;;;
61 Elektrische installaties;;;;2261,15;;;;;;;;;
64 Vaste gebouwvoorziening;stuks;0,24;0,53;342,39;12;;;;;;;;
65 Beveiliging;;;;2800,00;;;;;;;;;
66 Liften;;;;11694,64;75;;;;;;;;
73 Keuken;stuks;0,49;1,02;680,43;20;;;;;;;;
74 Sanitair;;;;1169,44;43;;;;;;;;
90 Terreininrichting;stuks;0,56;0,56;90,00;25;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
